Rank,Player,Weeks,Order,Majors
1,Tiger Woods,683,9,15
2,Greg Norman,331,3,2
3,Dustin Johnson,135,20,2
4,Scottie Scheffler*,133,25,2
5,Rory McIlroy,122,16,4
6,Nick Faldo,97,4,6
7,Seve Ballesteros,61,2,5
8,Luke Donald,56,15,0
9,Jon Rahm,52,24,2
10,Jason Day,51,19,1
11,Ian Woosnam,50,5,1
12,Brooks Koepka,47,23,5
13,Nick Price,44,7,3
14,Vijay Singh,32,12,3
15,Jordan Spieth,26,18,3
16,Lee Westwood,22,13,0
17,Fred Couples,16,6,1
18,David Duval,15,11,1
19,Justin Rose,13,22,1
20,Adam Scott,11,17,1
21,Ernie Els,9,10,4
22,Martin Kaymer,8,14,2
23,Justin Thomas,5,21,2
24,Bernhard Langer,3,1,2
25,Tom Lehman,1,8,1
